"Source:","/home/alaw/Arduino/Source/ECM/excel/X3V0.2/X3V0_2.sch"
"Date:","Sat 13 Jul 2019 13:20:27 AEST"
"Tool:","Eeschema 5.1.2-f72e74a~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","117"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R52","1K","Device:R","Resistors_SMD:R_0805","~"
"","","R53","1K","Device:R","Resistors_SMD:R_0805","~"
"","","R54","1K","Device:R","Resistors_SMD:R_0805","~"
"","","R55","1K","Device:R","Resistors_SMD:R_0805","~"
"","","R56","10K","Device:R","Resistors_SMD:R_0805","~"
"","","R57","1K","Device:R","Resistors_SMD:R_0805","~"
"","","R58","100K","Device:R","Resistors_SMD:R_0805","~"
"","","R59","1M","Device:R","Resistors_SMD:R_0805","~"
"","","R60","47K","Device:R","Resistors_SMD:R_0805","~"
"","","R61","47K","Device:R","Resistors_SMD:R_0805","~"
"","","R62","47K","Device:R","Resistors_SMD:R_0805","~"
"","","R63","100K","Device:R","Resistors_SMD:R_0805","~"
"","","R64","1k","Device:R","Resistors_SMD:R_0805","~"
"","","R65","1k","Device:R","Resistors_SMD:R_0805","~"
"","","R66","100K","Device:R","Resistors_SMD:R_0805","~"
"","","R67","10k","Device:R","Resistors_SMD:R_0805","~"
"","","R68","1k","Device:R","Resistors_SMD:R_0805","~"
"","","R69","100K","Device:R","Resistors_SMD:R_0805","~"
"","","R70","1k","Device:R","Resistors_SMD:R_0805","~"
"","","RV1","ERZ-V14D220","Device:Varistor","Varistors:RV_Disc_D15.5_W4.8_P7.5","~"
"","","U1","SP721ABG","excel:SP721","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"","","U2","LM2940CT-5.0","Regulator_Linear:KA78M05_TO252","TO_SOT_Packages_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM78M05.pdf"
"","","U3","LM2940CT-5.0","Regulator_Linear:KA78M05_TO252","TO_SOT_Packages_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM78M05.pdf"
"","","U4","Teensy3.5_MIN","teensy:Teensy3.5_MIN","teensy:Teensy35_MINIMAL",""
"","","U5","MAX9924UAUB+","excel:MAX9924UAUB+","Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm",""
"","","U6","MC74VHCT50A-D","excel:MC74VHCT50A-D","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"","","U7","MC74VHCT50A-D","excel:MC74VHCT50A-D","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"","","U8","TC4424AVOA","excel:TC4424EPA","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"","","U9","VNLD5090-E","excel:VNLD5090-E","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"","","U10","VNLD5090-E","excel:VNLD5090-E","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"","","U11","VNLD5090-E","excel:VNLD5090-E","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"","","U12","VNLD5090-E","excel:VNLD5090-E","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"","","U13","VNLD5090-E","excel:VNLD5090-E","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"","","U14","TPIC8101","X3V0_2-rescue:TPIC8101-excel","Housings_SOIC:SOIC-20W_7.5x12.8mm_Pitch1.27mm",""
"","","U15","MC74VHCT125A","excel:MC74VHCT125A","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"","","Y1","CSTNR4M00GH5C000R0","Device:Resonator_Small","Crystals:Resonator_SMD_CSTNR_3pin_4.5x2.0mm","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","3","C1, C16, C17","1uF","Device:C_Small","Capacitors_SMD:C_0805","~"
"2","9","C2, C4, C5, C6, C8, C9, C15, C19, C22","100nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"3","3","C3, C13, C18","1nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"4","2","C7, C20","47uF","Device:CP","Capacitors_Tantalum_SMD:CP_Tantalum_Case-B_EIA-3528-21_Reflow","~"
"5","1","C10","4.7uF","Device:CP","Capacitors_Tantalum_SMD:CP_Tantalum_Case-S_EIA-3216-12_Reflow","~"
"6","1","C12","330nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"7","1","C14","10nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"8","1","C21","1.5nF","Device:C_Small","Capacitors_SMD:C_0805","~"
"9","1","D1","MUR805G","Device:D_ALT","TO_SOT_Packages_THT:TO-220-2_Vertical","~"
"10","1","D2","MM3Z3V3ST1G","Device:D_Zener_ALT","Diodes_SMD:D_SOD-323","~"
"11","1","D3","B340-13-F","Device:D_Schottky","Diodes_SMD:D_SMC","~"
"12","2","D4, D5","RB751V-40WS","Device:D_Schottky","Diodes_SMD:D_SOD-323F","~"
"13","1","J1","Conn_2Rows-55Pins","Connector_Generic:Conn_2Rows-55Pins","Connectors:Hyundai55","~"
"14","1","J2","Serial","Connector_Generic:Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","~"
"15","2","Q2, Q3","FGB3040G2_F085","Device:Q_NIGBT_GCE","TO_SOT_Packages_THT:TO-220-3_Vertical_hv","~"
"16","9","R1, R4, R5, R6, R8, R12, R13, R21, R56","10K","Device:R","Resistors_SMD:R_0805","~"
"17","2","R2, R3","2K49","Device:R","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"18","17","R7, R10, R22, R24, R25, R26, R27, R28, R29, R30, R31, R41, R43, R58, R63, R66, R69","100K","Device:R","Resistors_SMD:R_0805","~"
"19","1","R9","18K","Device:R","Resistors_SMD:R_0805","~"
"20","2","R11, R67","10k","Device:R","Resistors_SMD:R_0805","~"
"21","1","R14","63.4K","Device:R","Resistors_SMD:R_0805","~"
"22","26","R15, R16, R23, R32, R33, R34, R35, R36, R37, R38, R39, R40, R42, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R57","1K","Device:R","Resistors_SMD:R_0805","~"
"23","1","R17","750","Device:R","Resistors_SMD:R_0805","~"
"24","1","R18","1K43","Device:R","Resistors_SMD:R_0805","~"
"25","2","R19, R20","10K","Device:R","Resistors_SMD:R_2512","~"
"26","1","R59","1M","Device:R","Resistors_SMD:R_0805","~"
"27","3","R60, R61, R62","47K","Device:R","Resistors_SMD:R_0805","~"
"28","4","R64, R65, R68, R70","1k","Device:R","Resistors_SMD:R_0805","~"
"29","1","RV1","ERZ-V14D220","Device:Varistor","Varistors:RV_Disc_D15.5_W4.8_P7.5","~"
"30","1","U1","SP721ABG","excel:SP721","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"31","2","U2, U3","LM2940CT-5.0","Regulator_Linear:KA78M05_TO252","TO_SOT_Packages_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM78M05.pdf"
"32","1","U4","Teensy3.5_MIN","teensy:Teensy3.5_MIN","teensy:Teensy35_MINIMAL",""
"33","1","U5","MAX9924UAUB+","excel:MAX9924UAUB+","Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm",""
"34","2","U6, U7","MC74VHCT50A-D","excel:MC74VHCT50A-D","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"35","1","U8","TC4424AVOA","excel:TC4424EPA","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"36","5","U9, U10, U11, U12, U13","VNLD5090-E","excel:VNLD5090-E","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
"37","1","U14","TPIC8101","X3V0_2-rescue:TPIC8101-excel","Housings_SOIC:SOIC-20W_7.5x12.8mm_Pitch1.27mm",""
"38","1","U15","MC74VHCT125A","excel:MC74VHCT125A","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"39","1","Y1","CSTNR4M00GH5C000R0","Device:Resonator_Small","Crystals:Resonator_SMD_CSTNR_3pin_4.5x2.0mm","~"
